"","Class:Defaulted Test Error","Class:Paid Test Error","Total:Test Error"
"PCA",0.028436018957346,0.00375666505089675,0.00837355925524579
"LogRegression",0.0170575692963753,0.000604229607250755,0.00364496108757758
"RF",0.0279850746268657,0.000664652567975831,0.00571372278593242
"KNN",0.264125799573561,0.0294259818731118,0.0728007092897252
"Tree",0.0190769230769231,0.0330752990851513,0.0308344005516698
